file, performance, flags, total_flag_effect
DSP_mat_mul_c.c, 46655, [-fno-split-wide-types (-5480.562468851839); -fno-sched-spec (178.61510978260998); -fipa-cp-alignment (-9352.874550518301); -fno-inline (4476.989548819426); -ftree-tail-merge (-1467.2384529397789); -fno-tree-vrp (-3170.69203778684); -fpartial-inlining (6602.891144808777); -fno-sched-rank-heuristic (5291.9980929504145); -fno-tree-loop-im (-2918.756304180738); -ftree-fre (283.1462219448102); -ftree-copy-prop (-2841.3072963931777); -ftree-switch-conversion (-5558.058602150535); -funroll-all-loops (726.5329764434039); -fno-non-call-exceptions (2228.5524941173007); -fipa-reference (-3862.7771894101647); -fno-indirect-inlining (9125.217674402807)], -5738.323638961823
DSP_mat_trans_c.c, 12711, [-fhoist-adjacent-loads (-1740.0461051485397); -funsafe-loop-optimizations (-6304.114528528419); -fno-shrink-wrap (-6940.9275483480615); -fno-finite-math-only (296.2386248469671); -foptimize-sibling-calls (-4606.038846601178); -fno-lifetime-dse (658.3849216026821); -fno-prefetch-loop-arrays (3129.122213514124); -fno-partial-inlining (-8372.711442532709); -fno-finite-math-only (296.2386248469671); -fstrict-volatile-bitfields (-2243.141511774232); -fcrossjumping (-5670.319420426811); -fno-ira-share-save-slots (-6183.137237673305); -fno-graphite (-1514.33813393748); -fno-tree-ch (-5357.878801085553); -fno-tree-coalesce-vars (-8669.641711268003); -funroll-all-loops (726.5329764434039)], -52495.77792607016
DSP_maxidx_c.c, 741, [-fhoist-adjacent-loads (-1709.4939938508192); -funsafe-loop-optimizations (-6320.949337485867); -fno-shrink-wrap (-6969.026210048924); -fno-finite-math-only (228.13918801557972); -foptimize-sibling-calls (-4646.6656839448315); -fno-lifetime-dse (601.8538850060431); -fno-prefetch-loop-arrays (3063.230421863669); -fno-partial-inlining (-8425.164685953969); -fno-finite-math-only (228.13918801557972); -fstrict-volatile-bitfields (-2308.2629509668923); -fcrossjumping (-5755.479810672922); -fno-ira-share-save-slots (-6269.233301395801); -fno-graphite (-1589.7426304766566); -fno-tree-ch (-5783.313808796927); -fno-tree-coalesce-vars (-8720.6007097379); -funroll-all-loops (737.1820314046109)], -53639.38840902603
DSP_maxval_c.c, 842, [-fschedule-insns (-69.75622327531681); -fno-single-precision-constant (-1783.9172588632835); -frtti (1694.8140820484573); -fno-var-tracking (-692.8855518131725); -fno-ssa-phiopt (-1927.3166516625138); -fno-tree-fre (-2385.316849540704); -fno-loop-strip-mine (-9376.999798813127); -fgcse-lm (-2674.54370402036); -fsel-sched-pipelining-outer-loops (-8587.324204711049); -ffunction-cse (-4811.694021591988); -fcx-limited-range (977.7732518670643); -fno-tree-ch (-5783.313808796927); -fno-ipa-cp (-7285.087994418026); -fmath-errno (-1470.2686737126546); -fno-peel-loops (-967.8066102576462); -ftree-coalesce-vars (-234.73096915702143)], -45378.37498671828
DSP_minerror_c.c, 24067, [-fno-ipa-icf (3147.0830713843225); -fno-sched-pressure (-799.727949809194); -ftree-vrp (-1936.9294164465896); -fno-tree-loop-distribution (-461.5249593085103); -fno-gcse-after-reload (1018.0991300469284); -fno-tree-loop-optimize (-2978.5654373750062); -fgcse-lm (-2666.588065388072); -fsched-rank-heuristic (450.1659224559489); -fno-tracer (1402.299100905982); -fipa-reference (-3837.0457342775744); -fno-nothrow-opt (-449.3495786864433); -fsched-spec-load-dangerous (-685.2749564557714); -fno-sched-dep-count-heuristic (-2222.170851127634); -fno-tree-coalesce-vars (-8765.16949185006); -ftree-copy-prop (-2776.6469444985514); -fselective-scheduling2 (-6818.054303744583)], -28379.400464174807
DSP_minval_c.c, 838, [-fschedule-insns (-69.75622327531681); -fno-single-precision-constant (-1783.9172588632835); -frtti (1694.8140820484573); -fno-var-tracking (-692.8855518131725); -fno-ssa-phiopt (-1927.3166516625138); -fno-tree-fre (-2385.316849540704); -fno-loop-strip-mine (-9376.999798813127); -fgcse-lm (-2674.54370402036); -fsel-sched-pipelining-outer-loops (-8587.324204711049); -ffunction-cse (-4811.694021591988); -fcx-limited-range (977.7732518670643); -fno-tree-ch (-5783.313808796927); -fno-ipa-cp (-7285.087994418026); -fmath-errno (-1470.2686737126546); -fno-peel-loops (-967.8066102576462); -ftree-coalesce-vars (-234.73096915702143)], -45378.37498671828
DSP_mul32_c.c, 9706, [-fhoist-adjacent-loads (-1740.0461051485397); -funsafe-loop-optimizations (-6304.114528528419); -fno-shrink-wrap (-6940.9275483480615); -fno-finite-math-only (296.2386248469671); -foptimize-sibling-calls (-4606.038846601178); -fno-lifetime-dse (658.3849216026821); -fno-prefetch-loop-arrays (3129.122213514124); -fno-partial-inlining (-8372.711442532709); -fno-finite-math-only (296.2386248469671); -fstrict-volatile-bitfields (-2243.141511774232); -fcrossjumping (-5670.319420426811); -fno-ira-share-save-slots (-6183.137237673305); -fno-graphite (-1514.33813393748); -fno-tree-ch (-5357.878801085553); -fno-tree-coalesce-vars (-8669.641711268003); -funroll-all-loops (726.5329764434039)], -52495.77792607016
DSP_neg32_c.c, 3102, [-fivopts (-5075.36818918619); -fno-sched-spec-load (2603.7986948891808); -funroll-loops (2586.1647670677776); -fno-sched-spec-load-dangerous (1028.4250960466932); -fno-cprop-registers (-4340.370644966024); -finline (4934.918110528175); -fcrossjumping (-5675.215730017774); -fstrict-overflow (347.03639412701324); -ftree-lrs (1776.6403588785304); -fnothrow-opt (-519.4093261502211); -fno-combine-stack-adjustments (-4110.922063806539); -fselective-scheduling2 (-6660.433691282289); -fomit-frame-pointer (-3162.7121106887666); -fno-delete-dead-exceptions (-595.8438166266583); -fno-tree-ch (-5390.5960464441305); -ftree-coalesce-vars (-23.471176333232233)], -22277.359373964453
DSP_q15tofl_c.c, 7817, [-frounding-math (-420.01001761405433); -fsignaling-nans (1847.550509025819); -fno-sched-spec-load-dangerous (1000.749589711408); -fbranch-probabilities (-274.2817211804057); -fno-asynchronous-unwind-tables (-5524.559815264505); -flifetime-dse (-4326.865617034122); -fno-delete-dead-exceptions (-643.5335845450079); -fstrict-enums (41.30013878517256); -fno-pack-struct (-480.32025345094127); -ftree-switch-conversion (-5558.05860215049); -fjump-tables (3429.764522417311); -fno-inline-functions-called-once (-683.4799599133044); -fno-threadsafe-statics (754.8557078749677); -fselective-scheduling (8244.071059235708); -ftree-copy-prop (-2822.490700053887); -fsched-spec (-2327.1741007152295)], -7742.482844871562
DSP_vecsumsq_c.c, 2499, [-fivopts (-5075.36818918619); -fno-sched-spec-load (2603.7986948891808); -funroll-loops (2586.1647670677776); -fno-sched-spec-load-dangerous (1028.4250960466932); -fno-cprop-registers (-4340.370644966024); -finline (4934.918110528175); -fcrossjumping (-5675.215730017774); -fstrict-overflow (347.03639412701324); -ftree-lrs (1776.6403588785304); -fnothrow-opt (-519.4093261502211); -fno-combine-stack-adjustments (-4110.922063806539); -fselective-scheduling2 (-6660.433691282289); -fomit-frame-pointer (-3162.7121106887666); -fno-delete-dead-exceptions (-595.8438166266583); -fno-tree-ch (-5390.5960464441305); -ftree-coalesce-vars (-23.471176333232233)], -22277.359373964453
