file, performance, flags, total_flag_effect
DSP_mat_mul_c.c, 46655, [-fno-split-wide-types (-1616.9443121918105); -fno-sched-spec (-1462.2733460236557); -fipa-cp-alignment (-3704.437526527938); -fno-inline (3262.3749325284207); -ftree-tail-merge (-1561.7906941592032); -fno-tree-vrp (-513.6650102164846); -fpartial-inlining (12345.005292025735); -fno-sched-rank-heuristic (3963.6129888378714); -fno-tree-loop-im (424.96461869816505); -ftree-fre (-2183.7706918190056); -ftree-copy-prop (3011.688110061415); -ftree-switch-conversion (-342.41823411712636); -funroll-all-loops (7013.346982803857); -fno-non-call-exceptions (-1423.0777411243225); -fipa-reference (-709.4161560700339); -fno-indirect-inlining (5564.008507084809)], 22067.20771979069
DSP_mat_trans_c.c, 12711, [-fhoist-adjacent-loads (-1406.5730246284877); -funsafe-loop-optimizations (-1187.0685121404952); -fno-shrink-wrap (-2266.372194016761); -fno-finite-math-only (-3748.715056799756); -foptimize-sibling-calls (-1038.1510577176314); -fno-lifetime-dse (-1742.068324578949); -fno-prefetch-loop-arrays (-638.0027498588522); -fno-partial-inlining (-1929.4409828165185); -fno-finite-math-only (-3748.715056799756); -fstrict-volatile-bitfields (932.3504689457425); -fcrossjumping (-3615.9393239644237); -fno-ira-share-save-slots (-3824.092997854508); -fno-graphite (-1932.9283228111758); -fno-tree-ch (-4817.8027213278165); -fno-tree-coalesce-vars (-2903.253091301006); -funroll-all-loops (7013.346982803857)], -26853.425964866532
DSP_maxidx_c.c, 741, [-fhoist-adjacent-loads (-1372.4089398059496); -funsafe-loop-optimizations (-1210.137109357223); -fno-shrink-wrap (-2308.2709558850747); -fno-finite-math-only (-3852.485693331883); -foptimize-sibling-calls (-1074.130313278032); -fno-lifetime-dse (-1815.903545355206); -fno-prefetch-loop-arrays (-727.6122723542112); -fno-partial-inlining (-1987.671903631305); -fno-finite-math-only (-3852.485693331883); -fstrict-volatile-bitfields (877.6681028158058); -fcrossjumping (-3712.274249870353); -fno-ira-share-save-slots (-3931.103016692598); -fno-graphite (-2022.085129149699); -fno-tree-ch (-5291.327483357067); -fno-tree-coalesce-vars (-2958.535769234366); -funroll-all-loops (7025.023226304688)], -28213.74074551436
DSP_maxval_c.c, 842, [-fschedule-insns (37.084178227018086); -fno-single-precision-constant (-1402.9208481955993); -frtti (3411.3914139217686); -fno-var-tracking (-1668.8192320875132); -fno-ssa-phiopt (-728.7404804266326); -fno-tree-fre (-2395.3164998441766); -fno-loop-strip-mine (-2467.2077482844766); -fgcse-lm (-1580.75267748223); -fsel-sched-pipelining-outer-loops (-528.4985526962561); -ffunction-cse (-1637.0163097188608); -fcx-limited-range (662.9653525399478); -fno-tree-ch (-5291.327483357067); -fno-ipa-cp (-1640.331023106525); -fmath-errno (-416.59847485074); -fno-peel-loops (-214.21451250406963); -ftree-coalesce-vars (-825.6051546469989)], -16685.908052512408
DSP_minerror_c.c, 24067, [-fno-ipa-icf (1794.590219244814); -fno-sched-pressure (-482.72016084135237); -ftree-vrp (2996.768516997618); -fno-tree-loop-distribution (1750.7372874988046); -fno-gcse-after-reload (-589.4770872974319); -fno-tree-loop-optimize (-1229.4441643229047); -fgcse-lm (-1571.7005653634608); -fsched-rank-heuristic (2430.819696696926); -fno-tracer (431.35235683384514); -fipa-reference (-680.960046017764); -fno-nothrow-opt (4400.311736998927); -fsched-spec-load-dangerous (-631.3543404931237); -fno-sched-dep-count-heuristic (-1717.5434069020248); -fno-tree-coalesce-vars (-3003.6217129661086); -ftree-copy-prop (3089.2352002347684); -fselective-scheduling2 (-2362.4723785547435)], 4624.521151746789
DSP_minval_c.c, 838, [-fschedule-insns (37.084178227018086); -fno-single-precision-constant (-1402.9208481955993); -frtti (3411.3914139217686); -fno-var-tracking (-1668.8192320875132); -fno-ssa-phiopt (-728.7404804266326); -fno-tree-fre (-2395.3164998441766); -fno-loop-strip-mine (-2467.2077482844766); -fgcse-lm (-1580.75267748223); -fsel-sched-pipelining-outer-loops (-528.4985526962561); -ffunction-cse (-1637.0163097188608); -fcx-limited-range (662.9653525399478); -fno-tree-ch (-5291.327483357067); -fno-ipa-cp (-1640.331023106525); -fmath-errno (-416.59847485074); -fno-peel-loops (-214.21451250406963); -ftree-coalesce-vars (-825.6051546469989)], -16685.908052512408
DSP_mul32_c.c, 9706, [-fhoist-adjacent-loads (-1406.5730246284877); -funsafe-loop-optimizations (-1187.0685121404952); -fno-shrink-wrap (-2266.372194016761); -fno-finite-math-only (-3748.715056799756); -foptimize-sibling-calls (-1038.1510577176314); -fno-lifetime-dse (-1742.068324578949); -fno-prefetch-loop-arrays (-638.0027498588522); -fno-partial-inlining (-1929.4409828165185); -fno-finite-math-only (-3748.715056799756); -fstrict-volatile-bitfields (932.3504689457425); -fcrossjumping (-3615.9393239644237); -fno-ira-share-save-slots (-3824.092997854508); -fno-graphite (-1932.9283228111758); -fno-tree-ch (-4817.8027213278165); -fno-tree-coalesce-vars (-2903.253091301006); -funroll-all-loops (7013.346982803857)], -26853.425964866532
DSP_neg32_c.c, 3102, [-fivopts (-587.7465204793541); -fno-sched-spec-load (832.5994707694376); -funroll-loops (-220.81423339970206); -fno-sched-spec-load-dangerous (-1734.3962643928398); -fno-cprop-registers (-924.1576650088749); -finline (-146.8979218343884); -fcrossjumping (-3618.794366360832); -fstrict-overflow (-316.2607768756678); -ftree-lrs (3442.843029366717); -fnothrow-opt (-700.5901443962216); -fno-combine-stack-adjustments (95.80626549494494); -fselective-scheduling2 (-2178.609392222203); -fomit-frame-pointer (3464.3391464703423); -fno-delete-dead-exceptions (-1842.017681358593); -fno-tree-ch (-4848.167531990857); -ftree-coalesce-vars (-555.9826029164093)], -9838.847189134502
DSP_q15tofl_c.c, 7817, [-frounding-math (-2623.1077814882324); -fsignaling-nans (979.6215868351775); -fno-sched-spec-load-dangerous (-1770.3295745030562); -fbranch-probabilities (867.527527858603); -fno-asynchronous-unwind-tables (-1007.9297046781622); -flifetime-dse (-528.9402973527033); -fno-delete-dead-exceptions (-1899.3039454393825); -fstrict-enums (-1620.4501943671467); -fno-pack-struct (-1660.658023931011); -ftree-switch-conversion (-342.6121143550096); -fjump-tables (2603.7170806940217); -fno-inline-functions-called-once (-364.2229402301966); -fno-threadsafe-statics (696.5725979741688); -fselective-scheduling (328.7755789150899); -ftree-copy-prop (3031.882348864889); -fsched-spec (-1675.8027760662972)], -4985.260631269246
DSP_vecsumsq_c.c, 2499, [-fivopts (-587.7465204793541); -fno-sched-spec-load (832.5994707694376); -funroll-loops (-220.81423339970206); -fno-sched-spec-load-dangerous (-1734.3962643928398); -fno-cprop-registers (-924.1576650088749); -finline (-146.8979218343884); -fcrossjumping (-3618.794366360832); -fstrict-overflow (-316.2607768756678); -ftree-lrs (3442.843029366717); -fnothrow-opt (-700.5901443962216); -fno-combine-stack-adjustments (95.80626549494494); -fselective-scheduling2 (-2178.609392222203); -fomit-frame-pointer (3464.3391464703423); -fno-delete-dead-exceptions (-1842.017681358593); -fno-tree-ch (-4848.167531990857); -ftree-coalesce-vars (-555.9826029164093)], -9838.847189134502
