,ft1, ft2, ft3, ft4, ft5, ft6, ft7, ft8, ft9, ft10, ft11, ft12, ft13, ft14, ft15, ft16, ft17, ft18, ft24, ft25, ft19, ft39, ft20, ft33, ft21, ft35, ft22, ft23, ft34, ft36, ft37, ft38, ft40, ft41, ft42, ft43, ft44, ft45, ft46, ft48, ft47, ft49, ft51, ft50, ft52, ft53, ft54, ft55, ft26, ft27, ft28, ft29, ft30, ft31, ft32
IMG_pix_expand_c.c,6,2,1,0,3,1,0,2,0,0,1,0,4,0,0,6,0,0,11,2.75,0,0,1,0,9,2,2,0,2,1,0,0,0,2,0,0,0,0,1,1,2,1,0,23,10,0,4,0,0.5,2,1,0,3,0,1
IMG_pix_sat_c.c,11,5,3,0,7,1,1,4,2,0,1,0,9,0,0,13,0,0,20,2.22,0,0,3,0,16,4,2,0,3,1,0,0,2,2,0,0,0,0,3,1,4,1,0,39,11,0,4,0,0.33,2.33,2,0,7,0,2
IMG_quantize_c.c,10,4,3,0,5,3,0,4,1,0,2,0,7,1,0,12,2,0,30,3.75,0,0,3,0,26,2,10,0,7,2,0,0,0,6,0,0,0,0,4,3,7,2,0,67,26,0,4,0,0.75,1.83,3,0,5,0,3
IMG_sad_16x16_c.c,9,4,2,0,5,2,0,4,0,0,2,0,6,1,0,10,0,0,21,3,0,0,2,0,18,2,8,0,6,2,0,0,0,3,0,0,0,0,4,2,9,0,0,52,21,0,4,0,0.86,1.67,3,0,4,0,3
IMG_sad_8x8_c.c,9,4,2,0,5,2,0,4,0,0,2,0,6,1,0,10,0,0,21,3,0,0,2,0,18,2,8,0,6,2,0,0,0,3,0,0,0,0,4,2,9,0,0,52,21,0,4,0,0.86,1.67,3,0,4,0,3
IMG_sobel_c.c,8,3,2,0,4,2,0,2,1,1,1,0,5,1,0,9,1,0,76,12.67,0,0,2,0,73,9,26,0,16,8,0,0,0,12,0,0,0,0,1,3,10,5,0,174,64,0,11,0,0.5,2,2,0,4,0,2
IMG_wave_horz_c.c,15,8,4,0,9,4,0,8,0,0,4,0,11,2,0,18,0,0,55,4.23,0,0,4,0,50,6,26,0,12,4,0,0,0,16,0,0,0,0,7,4,23,6,0,128,50,0,10,0,1,1.62,7,0,6,0,7
IMG_wave_vert_c.c,15,8,4,0,9,4,0,8,0,0,4,0,11,2,0,18,0,0,50,3.85,0,0,4,0,45,6,21,0,12,4,0,0,0,15,0,0,0,0,7,4,22,6,0,114,38,0,10,0,1,1.62,7,0,6,0,7
IMG_ycbcr422p_rgb565_c.c,18,8,7,0,9,7,0,7,1,1,6,0,14,2,0,24,6,0,97,6.06,0,0,7,0,89,10,39,0,24,9,0,0,0,32,0,0,0,0,13,5,31,10,0,218,79,0,9,0,0.75,2,6,1,9,0,7
IMG_yc_demux_be16_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,46,11.5,0,0,1,0,44,8,12,0,7,4,0,0,0,12,0,0,0,0,1,5,7,6,0,99,37,0,12,0,0.5,2,1,0,3,0,1
IMG_yc_demux_le16_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,46,11.5,0,0,1,0,44,8,12,0,7,4,0,0,0,12,0,0,0,0,1,5,7,6,0,99,37,0,12,0,0.5,2,1,0,3,0,1
